Company Name,Street,PO Box,City,State,Street Zip Code,PO Box Zip Code,,Selected Customer,
Company Name,Street,PO Box,City,State,Street Zip Code,PO Box Zip Code,,='TC FORM'!B2,Customer
"3P PROCESSING, INC.",1702 S. KNIGHT,,WICHITA,KS,67213,,,"=VLOOKUP(I2, A3:G448,2, FALSE)",St. Address
"AADFW, INC.",1350 WESTPARK WAY,,EULESS,TX,76040,,,"=VLOOKUP(I$2, A$3:G$448,3, FALSE)",PO Box
ABSOLUTE DIMENSIONS,3838 W. MAY ST.,,WICHITA,KS,67213,,,"=VLOOKUP(I$2, A$3:G$448,4, FALSE)",City
"ACCURUS AEROSPACE WICHITA, LLC",4011 E. 31 ST. SOUTH,,WICHITA,KS,67210,,,"=VLOOKUP(I$2, A$3:G$448,5, FALSE)",State
"AERO METAL FORMS, INC.",2649 ESTHNER COURT,,WICHITA,KS,67213,,,"=VLOOKUP(I$2, A$3:G$448,6, FALSE)",Street Zip
AEROSPACE SYSTEMS & COMPONENTS,5201 E. 36TH ST. N.,,WICHITA,KS,67220-3206,,,"=VLOOKUP(I$2, A$3:G$448,7, FALSE)",PO Box Zip
"AERO-TECH ENGINEERING, INC.",5555 N 119TH ST W,,MAIZE,KS,67101,,,3rd line concatenation,
AIRTECH SUPPLY,3058 HIGHWAY 290,,HOT SPRINGS,AR,71913,,,"=CONCATENATE(I5,"", "",I6,"" "",I7)",
ALLTITE,1600 E. MURDOCK ST.,,WICHITA,KS,67214,,,,
"AMETEK ADVANCED INDUSTRIES, INC.",4550 SOUTHEAST BOULEVARD,,WICHITA,KS,,67216,,,
"AMETEK B & S AIRCRAFT PARTS & ACC., INC.",1414 S. MOSLEY,,WICHITA,KS,67211-3387,,,,
APEX COMPOSITES - OKLAHOMA DIV.,414 CHAMBER LOOP,,ADA,OK,74821,,,,
APEX ENGINEERING - WICHITA DIV.,1804 WEST 2ND STREET,,WICHITA,KS,67203-5703,,,,
AVIATION CONSULTING & ENGINEERING SOL,202 NORTH PARK,,MAIZE,KS,67101,,,,
B & C SPECIALTY PRODUCTS,123 E. 4TH,,NEWTON,KS,67114,,,,
"BG PRODUCTS, INC",P.O. BOX 1282,,WICHITA,KS,67201,,,,
"BODYCOTE THERMAL PROCESSING, INC.-McLEAN",1019 McLEAN BLVD SOUTH,,WICHITA,KS,67213,,,,
"BODYCOTE THERMAL PROCESSING, INC.-WEST",1009 S. WEST STREET,,WICHITA,KS,67213,,,,
"BRITTAIN MACHINE, INC.",2621 S. SHERIDAN (door 12),P.O. BOX 17227,WICHITA,KS,67217,,,,
"BURNHAM COMPOSITE STRUCTURES, INC.",6262 W. 34TH STREET SOUTH,,WICHITA,KS,67215,,,,
CAPPS MANUFACTURING INC.,2121 S. EDWARDS,,WICHITA,KS,67213,,,,
CAPPS MANUFACTURING INC. - CUSTER,2120 S. CUSTER,,WICHITA,KS,67213,,,,
CATALYTIC INDUSTRIAL GROUP,713 N. 20TH STREET,,INDEPENDENCE,KS,67301,,,,
CELCO,103 N. LAWRENCE,,ANTHONY,KS,67003,,,,
CENTER INDUSTRIES CORP.,2505 S. CUSTER,P.O. BOX 17364,WICHITA,KS,,67217-0364,,,
"CESSNA AIRCRAFT CO., DEPT. 352",P.O. BOX 12917,,WICHITA,KS,67277,,,,
CESSNA DEPT 074,5800 E. PAWNEE,,WICHITA,KS,67218,,,,
CHARLES ENGINEERING,10400 S. 119TH ST. WEST,P.O. BOX 369,CLEARWATER,KS,67026,,,,
"CHROME PLUS INTERNATIONAL, INC. - CUSTER FACILITY",3939 W. 29TH ST. S.,,WICHITA,KS,67217,,,,
"CHROME PLUS INTERNATIONAL, INC. - WICHITA FACILITY",3939 W. 29TH ST. S.,,WICHITA,KS,67217,,,,
CLARK MANUFACTURING,1936 NORTH A,,WELLINGTON,KS,,67152,,,
CNH AMERICA L.L.C. - CALIBRATION LAB,3301 S. HOOVER RD.,,WICHITA,KS,67215,,,,
COOPER MACHINERY SERVICES,1648 W. MAGNOLIA RD.,,SALINA,KS,67401,,,,
COX MACHINE - HARPER DIVISION,949 N. HIGHWAY 14,,HARPER,KS,67058,,,,
COX MACHINE - WICHITA DIVISION,"5338 W. 21ST N., SUITE 100",,WICHITA,KS,67205,,,,
"D-J AEROSPACE, INC. PHILIPPINES",#12 Aim High Corner Commitment Street,"Subic Bay Industrial Par, Phase 1",Subic Bay Freeport Zone,Â PHILIPPINES,67010,,,,
"D-J ENGINEERING, INC.",219 W. SIXTH,P.O. BOX 278,AUGUSTA,KS,,67010-0278,,,
D-J EXTRUDING,723 E. SPRING,,CONWAY SPRINGS,KS,67031,,,,
"DUCOMMUN AEROSTRUCTURES, INC.",3333 MAIN STREET,,PARSONS,KS,67357,,,,
"EXACTA AEROSPACE, INC.",4200 W. HARRY,,WICHITA,KS,67209-2730,,,,
"EXACTA AEROSPACE, INC. SOUTH",4261 S. WEST STREET,,WICHITA,KS,67217-3813,,,,
EXCEL INDUSTRIES,200 S RIDGE RD,P.O. BOX 7000,HESSTON,KS,67062,,,,
FIBER DYNAMICS,3730 MIDCO,,WICHITA,KS,67215,,,,
FIGEAC AERO,9313 EAST 39TH STREET NORTH,,WICHITA,KS,67226,,,,
FREEMAN COMPANY,P.O. BOX 57,,YANKTON,SD,57078,,,,
"GKN PRECISION MACHINING, INC.",429 N WEST ROAD,,WELLINGTON,KS,67152-8047,,,,
GLOBE ENGINEERING CO.,1539 S. ST. PAUL,,WICHITA,KS,67277,,,,
GLOBE ENGINEERING CO. - MAIZE RD,3505 S. MAIZE RD,,WICHITA,KS,67215,,,,
GLOBE ENGINEERING CO.-SHERIDAN LOC.,2432 S. SHERIDAN,,WICHITA,KS,67217,,,,
GOODRICH CABIN SYSTEMS-PCI,1644  S MAIZE RD,P.O. BOX 75278,WICHITA,KS,,67275,,,
HARLOW AEROSTRUCTURES LLC,1501 S. MCLEAN BLVD,P.O. BOX 304,WICHITA,KS,,67201-0304,,,
HEARTLAND PRECISION FASTENERS INC.,301 PRAIRIE VILLAGE DR.,,NEW CENTURY,KS,66031,,,,
JOHNSON CONTROLS,404 S. HOLLAND,,WICHITA,KS,67209,,,,
JOHNSON CONTROLS-YORK,,PO BOX 19014,WICHITA,KS,67204-9014,,,,
"JOHNSON GAGE & INSPECTION, INC.",5920 W. 21st ST. N.,,WICHITA,KS,67205,,,,
"KAMAN COMPOSITES - WICHITA, INC.",1650 S McCOMAS,,WICHITA,KS,67213,,,,
"KANSAS COIL SPRING CO., INC.",4310 SE BLVD,,WICHITA,KS,67210,,,,
LEADING TECHNOLOGY COMPOSITES,2626 W. MAY,,WICHITA,KS,67213,,,,
"LEE AEROSPACE, INC.",9323 E 34th ST N,,WICHITA,KS,67226,,,,
"LEE PRODUCTS ENGINEERING SERVICES, INC.",2946 S. HYDRAULIC,,WICHITA,KS, 67216,,,,
"LEONARD'S METAL, INC. - WICHITA",2621 ESTHNER CT.,,WICHITA,KS,67213,,,,
LTC INC. - PLANT 3,2700 S CUSTER,,WICHITA,KS,67217,,,,
"MANUFACTURING DEVELOPMENT, INC.",37515 WEST 15th SOUTH,P.O. BOX 550,CHENEY,KS,,67025-0550,,,
"MAX AEROSTRUCTURES, LLC",8219 W IRVING ST,,WICHITA,KS,67209,,,,
MAYNARD INC.,7175 S. McGUIRE ST.,,FAYETTEVILLE,AR,72704-5237,,,,
MAYNARD INC. - WICHITA DIV.,4422 W. WALKER ST.,,WICHITA,KS,67209-2657,,,,
"McGINTY MACHINE CO., INC.",222 N. HYDRAULIC,,WICHITA,KS,67214-4818,,,,
"MERRITT PREFERRED COMPONENTS, INC.",PO BOX 1209,,KILGORE,TX,75663,,,,
METAL FINISHING CO.,1425 S. McLEAN BLVD.,,WICHITA,KS,67213,,,,
METAL FINISHING CO. - MURDOCK LOCATION,701 E. MURDOCK,,WICHITA,KS,67214,,,,
METAL-FAB INC.,3025 MAY AVE.,,WICHITA,KS,67213,,,,
MFCO HEAT TREAT,MFCO HEAT TREAT,MFCO HEAT TREAT,MFCO HEAT TREAT,MFCO HEAT TREAT,MFCO HEAT TREAT,,,,
"MILLENNIUM CONCEPTS, INC.",9050 MONROE CIRCLE,,WICHITA,KS,67209,,,,
NATIONAL INSTITUTE FOR AVIATION RESEARCH,4004 N. WEBB ROAD,,WICHITA,KS,67226,,,,
"NIAR - ADVANCED COATINGS LAB, RM M151",4004 N. WEBB RD,,WICHITA,KS,67226,,,,
NIAR - ENVIRONMENTAL TEST LAB,1845 FAIRMOUNT,,WICHITA,KS,67260,,,,
NIAR ASTEC,1229 E 85TH ST N,,PARK CITY,KS,67219,,,,
"NIAR COMPOSITE LAB, RM-110",1845 FAIRMONT,93,WICHITA,KS,67260-0093,,,,
"NIAR COMPOSITE LAB, RM-118","1845 FAIRMONT, RM-118",BOX 93,WICHITA,KS,67260-0093,,,,
NIAR-QUALITY CONTROL & STRAIN GAGE LAB,1845 FAIRMOUNT,,WICHITA,KS,67260-0093,,,,
"NORTH AMERICAN AVIATION, INC.",7330 N. BROADWAY,,WICHITA,KS,67219,,,,
NWI KANSAS CITY LLC,31800 W 196th ST,,EDGERTON,KS,66021,,,,
NWI KANSAS CITY LLC,4020 E 138th ST,,GRANDVIEW,MO,64030,,,,
NWI WICHITA LLC,3258 S HOOVER,P.O. BOX 12670,WICHITA,KS,,67277,,,
O & F MACHINE PRODUCTS INC.,3020 WEST 20TH,,JOPLIN,MO,64802,,,,
"OXWELL, INC.",600 E 16th,P.O. BOX 588,WELLINGTON,KS,67152,,,,
PARK AEROSPACE TECHNOLOGIES CORP.,"486 N. OLIVER ROAD, BLDG. Z",,NEWTON,KS,67114,,,,
"PCI - PERFORMANCE CONTRACTING, INC.",16047 W. 110TH ST.,,LENEXA,KS,66219,,,,
PMC CORPORATION,680 HAYWARD STREET,,MANCHESTER,NH,03103,,,,
PREMIER PROCESSING,"3002 WEST PAWNEE, STE 104",,WICHITA,KS,67213-1806,,,,
PRIDE PLATING INC.,2900 E HIGHWAY 10,,GROVE,OK,74344,,,,
PROBATA METROLOGY & CALIBRATION SERVICES,14600 METRO PLAZA BLVD.,,EDMOND,OK,73013,,,,
PRODUCT MANUFACTURING CORPORATION,"4425 W MAY ST., BLDG A",,WICHITA,KS,67209,,,,
RAPID PROCESSING SOLUTIONS,1367 S. ANNA,,WICHITA,KS,67209,,,,
RV PRODUCTS DIVISION,3050 N. ST. FRANCIS,,WICHITA,KS,67219,,,,
SHACKELFORD MACHINE,116 S TRACY,P.O. BOX 670,CLEARWATER,KS,,67026,,,
"SIEMENS ENERGY, INC. - E R WP SCM MF1 2",100 COMMERCE ST.,,HUTCHINSON,KS,67501,,,,
SIEMENS-WICHITA TOOLING CENTER,1090 E 37TH ST N,,WICHITA,KS,67219,,,,
"SIGMA-TEK, INC.",1001 INDUSTRIAL,,AUGUSTA,KS,67010-9566,,,,
STANDRIDGE COLOR CORPORATION,1011 INDUSTRIAL DR.,,NEWTON,KS,67114,,,,
TECT AEROSPACE PARK CITY,5545 N. MILL HEIGHTS DRIVE,,PARK CITY,KS,67219,,,,
TECT AEROSPACE WELLINGTON,1515 N. A ST.,,WELLINGTON,KS,67152,,,,
TEXTRON AVIATION INC,2 CESSNA BLVD,,WICHITA,KS,67215,,,,
TEXTRON AVIATION - BEECHCRAFT FACILITY,10511 E. CENTRAL,,WICHITA,KS,67206,,,,
THE BOEING CO.--IDS WICHITA,4615 S. OLIVER,,WICHITA,KS,67210,,,,
THE BOEING COMPANY,8900 FROST AVE.,,BERKELEY,MO,63134,,,,
TRIUMPH AEROSPACE SYSTEMS - WICHITA DIVISION,,,,,,,,,
TRIUMPH FABRICATIONS-SHELBYVILLE,,,,,,,,,
"TRIUMPH STRUCTURES - EAST TEXAS, INC.",,,,,,,,,
TRIUMPH STRUCTURES - KANSAS CITY,,,,,,,,,
UNIVERSAL PRODUCTS,521 INDUSTRIAL STREET,,GODDARD,KS,67052,,,,
"VALCO MANUFACTURING CO., INC.",925 BOREN AVE.,,DUNCAN,OK,73533,,,,
VEGAS FASTENER MANUFACTURING,4315 W. OQUENDO RD.,,LAS VEGAS,NV,89118,,,,
VIEGA LLC,2211 VIEGA AVE.,,McPHERSON,KS,67460,,,,
"WEAVER MANUFACTURING, INC.",1005 E 17th,,WICHITA,KS,67214,,,,
WEBSTER COMBUSTION TECHNOLOGY LLC,619 INDUSTRIAL ROAD,,WINFIELD,KS,67156-9123,,,,
WESCO AIRCRAFT - ELECTRONIC PRODUCTS GROUP,3851 N. WEBB RD.,,WICHITA,KS,67266,,,,
"WICHITA AEROSPACE SPARES, INC.","4626 W. MAY ST., BUILDING D",,WICHITA,KS,67209,,,,
"WICHITA BRASS & ALUMINUM FOUNDRY, INC.",412 E 29th ST N,P.O. BOX 4144,WICHITA,KS,,67204-0144,,,
YINGLING AVIATION,2010 AIRPORT ROAD,P.O. BOX 9248,WICHITA,KS,67277-0248,,,,
YINGLING AVIATION PROP SHOP,1440 S. RIDGE ROAD,,WICHITA,KS,67209,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
